index,ingredient,spicy,sweet,umami,sour,salty
1,Salt,0,0,0,0,1
2,Sugar,0,1,0,0,0
3,Black Pepper,0.7,0,0,0,0
4,Cayenne Pepper,0.95,0,0,0,0
5,Chili Powder,0.8,0,0,0,0
6,Paprika,0.3,0.2,0,0,0
7,Garlic,0.1,0.1,0.5,0,0
8,Onion,0.1,0.3,0.4,0,0
9,Ginger,0.6,0.2,0,0,0
10,Tomato,0,0.4,0.7,0.3,0
11,Lemon,0,0.1,0,0.95,0
12,Lime,0,0.1,0,0.95,0
13,Vinegar,0,0,0,0.9,0
14,Soy Sauce,0,0.1,0.9,0.1,0.9
15,Fish Sauce,0,0,0.95,0.2,0.9
16,Parmesan Cheese,0,0,0.9,0,0.7
17,Mushrooms,0,0.1,0.8,0,0.1
18,Anchovies,0,0,0.95,0.1,0.9
19,Miso Paste,0,0.2,0.9,0.1,0.8
20,Seaweed,0,0,0.85,0,0.8
21,Bacon,0,0.2,0.7,0,0.8
22,Beef,0,0.1,0.7,0,0.2
23,Chicken,0,0,0.5,0,0.1
24,Pork,0,0.2,0.6,0,0.1
25,Salmon,0,0.1,0.6,0,0.3
26,Shrimp,0,0.3,0.6,0,0.3
27,Butter,0,0.1,0.3,0,0.2
28,Cream,0,0.2,0.2,0,0.1
29,Yogurt,0,0.3,0.2,0.4,0.1
30,Cheddar Cheese,0,0,0.6,0,0.6
31,Honey,0,0.95,0,0,0
32,Maple Syrup,0,0.9,0,0,0
33,Basil,0,0.1,0,0,0
34,Cilantro,0,0,0,0.1,0
35,Mint,0,0.2,0,0,0
36,Rosemary,0,0,0,0,0
37,Thyme,0,0,0.1,0,0
38,Oregano,0,0,0.1,0,0
39,Cumin,0.3,0,0.2,0,0
40,Coriander,0.2,0.2,0,0,0
41,Cinnamon,0.1,0.4,0,0,0
42,Nutmeg,0.1,0.3,0,0,0
43,Vanilla,0,0.7,0,0,0
44,Chocolate,0.1,0.6,0.1,0.1,0
45,Coffee,0,0.1,0.3,0.3,0
46,Apple,0,0.8,0,0.2,0
47,Banana,0,0.85,0,0,0
48,Orange,0,0.7,0,0.4,0
49,Strawberry,0,0.8,0,0.2,0
50,Blueberry,0,0.7,0,0.3,0
51,Mango,0,0.9,0.1,0.1,0
52,Pineapple,0,0.8,0,0.5,0
53,Coconut,0,0.5,0.1,0,0.1
54,Avocado,0,0,0.4,0,0
55,Potato,0,0.1,0.2,0,0
56,Carrot,0,0.5,0.1,0,0
57,Broccoli,0,0.1,0.2,0,0
58,Spinach,0,0,0.3,0,0.1
59,Kale,0,0,0.2,0.1,0
60,Bell Pepper,0,0.4,0.1,0,0
61,Jalapeño,0.8,0,0,0,0
62,Corn,0,0.6,0.2,0,0
63,Peas,0,0.5,0.3,0,0
64,Rice,0,0.1,0.1,0,0
65,Pasta,0,0.1,0.1,0,0
66,Bread,0,0.2,0.1,0,0.2
67,Oats,0,0.2,0.1,0,0
68,Quinoa,0,0.1,0.2,0,0
69,Beans,0,0.1,0.4,0,0
70,Lentils,0,0.1,0.4,0,0
71,Chickpeas,0,0.2,0.4,0,0
72,Peanuts,0,0.1,0.3,0,0.2
73,Almonds,0,0.2,0.2,0,0.1
74,Cashews,0,0.3,0.2,0,0.1
75,Olive Oil,0,0,0.1,0,0
76,Sesame Oil,0,0.1,0.3,0,0
77,Mustard,0.4,0.1,0.1,0.5,0.3
78,Mayonnaise,0,0.2,0.2,0.2,0.3
79,Ketchup,0,0.7,0.4,0.4,0.5
80,Hot Sauce,0.9,0.1,0.1,0.5,0.5
81,Worcestershire Sauce,0,0.3,0.8,0.4,0.7
82,Balsamic Vinegar,0,0.4,0.2,0.7,0
83,Rice Vinegar,0,0.2,0,0.6,0
84,Tahini,0,0.1,0.3,0.1,0.1
85,Pesto,0,0,0.5,0.1,0.4
86,Sriracha,0.85,0.3,0.2,0.3,0.4
87,Wasabi,0.9,0,0,0,0
88,Horseradish,0.8,0,0,0.1,0
89,Capers,0,0,0.3,0.6,0.9
90,Olives,0,0,0.4,0.2,0.8
91,Pickles,0,0.1,0.1,0.8,0.6
92,Kimchi,0.6,0.1,0.5,0.7,0.6
93,Sauerkraut,0,0,0.2,0.8,0.5
94,Tamarind,0,0.4,0.1,0.8,0.1
95,Pomegranate,0,0.6,0.1,0.4,0
96,Dates,0,0.95,0,0,0
97,Figs,0,0.85,0,0,0
98,Prunes,0,0.8,0.1,0.2,0
99,Raisins,0,0.9,0.1,0,0
100,Cranberries,0,0.5,0,0.7,0
101,Cherries,0,0.8,0,0.2,0
102,Peach,0,0.8,0,0.2,0
103,Plum,0,0.7,0,0.3,0
104,Apricot,0,0.8,0,0.2,0
105,Pear,0,0.7,0,0.1,0
106,Grape,0,0.8,0,0.2,0
107,Watermelon,0,0.8,0,0,0
108,Cantaloupe,0,0.8,0,0,0
109,Honeydew,0,0.75,0,0,0
110,Kiwi,0,0.6,0,0.5,0
111,Papaya,0,0.7,0,0.1,0
112,Guava,0,0.7,0,0.2,0
113,Dragon Fruit,0,0.5,0,0,0
114,Passion Fruit,0,0.6,0,0.8,0
115,Lychee,0,0.8,0,0.1,0
116,Persimmon,0,0.85,0,0,0
117,Star Fruit,0,0.5,0,0.5,0
118,Grapefruit,0,0.4,0,0.7,0
119,Tangerine,0,0.8,0,0.3,0
120,Blackberry,0,0.6,0,0.3,0
121,Raspberry,0,0.6,0,0.4,0
122,Gooseberry,0,0.5,0,0.6,0
123,Elderberry,0,0.5,0,0.4,0
124,Currant,0,0.5,0,0.6,0
125,Asparagus,0,0.1,0.3,0,0
126,Artichoke,0,0.2,0.4,0.1,0.1
127,Brussels Sprouts,0,0.1,0.3,0.1,0
128,Cabbage,0,0.1,0.2,0,0
129,Cauliflower,0,0.2,0.2,0,0
130,Celery,0,0.1,0.2,0,0.2
131,Cucumber,0,0.2,0,0.1,0
132,Eggplant,0,0.1,0.3,0,0
133,Zucchini,0,0.2,0.2,0,0
134,Squash,0,0.4,0.2,0,0
135,Pumpkin,0,0.4,0.2,0,0
136,Butternut Squash,0,0.5,0.2,0,0
137,Acorn Squash,0,0.4,0.2,0,0
138,Sweet Potato,0,0.7,0.2,0,0
139,Beet,0,0.6,0.3,0.1,0.1
140,Turnip,0,0.2,0.2,0,0
141,Radish,0.3,0.1,0,0.1,0
142,Daikon,0.2,0.1,0.1,0,0
143,Jicama,0,0.3,0,0,0
144,Fennel,0,0.3,0.1,0,0
145,Leek,0,0.2,0.3,0,0
146,Shallot,0.1,0.3,0.4,0,0
147,Scallion,0.2,0.1,0.3,0,0
148,Chives,0.1,0,0.2,0,0.1
149,Bok Choy,0,0.1,0.2,0,0
150,Napa Cabbage,0,0.2,0.2,0,0
151,Swiss Chard,0,0.1,0.3,0.1,0.1
152,Collard Greens,0,0.1,0.3,0.1,0.1
153,Mustard Greens,0.4,0,0.2,0.2,0.1
154,Arugula,0.3,0,0.1,0.2,0
155,Watercress,0.4,0,0.1,0.2,0
156,Endive,0,0,0.1,0.3,0
157,Radicchio,0,0,0.1,0.4,0.1
158,Lettuce,0,0.1,0,0,0
159,Romaine,0,0.1,0.1,0,0
160,Iceberg Lettuce,0,0.1,0,0,0
161,Butterhead Lettuce,0,0.1,0,0,0
162,Okra,0,0.2,0.3,0,0
163,Green Beans,0,0.2,0.2,0,0
164,Snap Peas,0,0.5,0.3,0,0
165,Snow Peas,0,0.4,0.3,0,0
166,Edamame,0,0.3,0.4,0,0.1
167,Lima Beans,0,0.2,0.3,0,0
168,Fava Beans,0,0.2,0.4,0,0.1
169,Black Beans,0,0.1,0.4,0,0.1
170,Kidney Beans,0,0.1,0.4,0,0.1
171,Pinto Beans,0,0.1,0.4,0,0
172,Navy Beans,0,0.1,0.3,0,0
173,Cannellini Beans,0,0.1,0.4,0,0
174,Red Lentils,0,0.1,0.4,0,0
175,Green Lentils,0,0.1,0.4,0,0
176,Black Lentils,0,0.1,0.4,0,0
177,Yellow Split Peas,0,0.2,0.3,0,0
178,Mung Beans,0,0.1,0.3,0,0
179,Adzuki Beans,0,0.3,0.3,0,0
180,Tofu,0,0,0.4,0,0.1
181,Tempeh,0,0.1,0.5,0.1,0.1
182,Seitan,0,0,0.5,0,0.3
183,Lamb,0,0.1,0.7,0,0.2
184,Veal,0,0.1,0.6,0,0.1
185,Duck,0,0.2,0.7,0,0.2
186,Turkey,0,0.1,0.5,0,0.1
187,Goose,0,0.1,0.7,0,0.2
188,Quail,0,0.1,0.6,0,0.1
189,Venison,0,0.1,0.8,0,0.2
190,Bison,0,0.1,0.7,0,0.2
191,Rabbit,0,0.1,0.6,0,0.1
192,Prosciutto,0,0.3,0.8,0,0.9
193,Salami,0,0.1,0.7,0,0.8
194,Chorizo,0.7,0.2,0.6,0,0.7
195,Pepperoni,0.4,0,0.6,0,0.8
196,Ham,0,0.2,0.5,0,0.7
197,Sausage,0.3,0.1,0.6,0,0.7
198,Bratwurst,0.2,0,0.6,0,0.6
199,Hot Dog,0,0.2,0.4,0,0.7
200,Pastrami,0.2,0,0.7,0,0.8
201,Corned Beef,0,0,0.6,0,0.9
202,Tuna,0,0.1,0.7,0,0.3
203,Cod,0,0.1,0.5,0,0.2
204,Halibut,0,0.1,0.6,0,0.2
205,Tilapia,0,0.1,0.4,0,0.1
206,Trout,0,0.1,0.6,0,0.2
207,Sea Bass,0,0.1,0.6,0,0.3
208,Snapper,0,0.1,0.6,0,0.3
209,Swordfish,0,0.1,0.7,0,0.3
210,Mackerel,0,0.1,0.7,0,0.4
211,Sardines,0,0.1,0.8,0,0.5
212,Herring,0,0.1,0.7,0,0.5
213,Scallops,0,0.4,0.6,0,0.3
214,Clams,0,0.2,0.7,0,0.4
215,Mussels,0,0.2,0.8,0,0.4
216,Oysters,0,0.2,0.9,0.1,0.5
217,Crab,0,0.4,0.7,0,0.4
218,Lobster,0,0.4,0.7,0,0.4
219,Crawfish,0,0.3,0.6,0,0.3
220,Squid,0,0.2,0.6,0,0.3
221,Octopus,0,0.2,0.7,0,0.3
222,Caviar,0,0.1,0.9,0,0.9
223,Roe,0,0.2,0.8,0,0.6
224,Imitation Crab,0,0.3,0.5,0,0.5
225,Milk,0,0.3,0.1,0,0.1
226,Heavy Cream,0,0.2,0.2,0,0.1
227,Sour Cream,0,0.2,0.2,0.6,0.1
228,Crème Fraîche,0,0.2,0.2,0.4,0.1
229,Greek Yogurt,0,0.2,0.2,0.5,0.1
230,Cottage Cheese,0,0.2,0.3,0.2,0.4
231,Ricotta,0,0.2,0.3,0.1,0.2
232,Mozzarella,0,0.1,0.5,0,0.4
233,Provolone,0,0.1,0.6,0,0.5
234,Swiss Cheese,0,0.2,0.5,0,0.4
235,Gouda,0,0.2,0.5,0,0.5
236,Brie,0,0.1,0.6,0,0.4
237,Camembert,0,0.1,0.6,0,0.4
238,Blue Cheese,0,0.1,0.7,0,0.7
239,Gorgonzola,0,0.1,0.8,0,0.7
240,Roquefort,0,0.1,0.7,0,0.8
241,Feta,0,0.1,0.5,0.3,0.8
242,Goat Cheese,0,0.1,0.5,0.3,0.5
243,Manchego,0,0.1,0.6,0,0.6
244,Gruyère,0,0.1,0.7,0,0.6
245,Pecorino Romano,0,0,0.8,0,0.9
246,Asiago,0,0.1,0.7,0,0.6
247,Fontina,0,0.1,0.6,0,0.5
248,Havarti,0,0.2,0.4,0,0.4
249,Monterey Jack,0,0.2,0.4,0,0.4
250,Pepper Jack,0.5,0.1,0.4,0,0.5
251,Cream Cheese,0,0.2,0.2,0.1,0.3
252,Mascarpone,0,0.3,0.2,0,0.1
253,Ghee,0,0.1,0.3,0,0.1
254,Lard,0,0.1,0.3,0,0.1
255,Tallow,0,0,0.3,0,0.1
256,Coconut Oil,0,0.3,0,0,0
257,Avocado Oil,0,0,0.1,0,0
258,Vegetable Oil,0,0,0,0,0
259,Canola Oil,0,0,0,0,0
260,Sunflower Oil,0,0,0,0,0
261,Peanut Oil,0,0.1,0.1,0,0
262,Grapeseed Oil,0,0,0,0,0
263,Walnut Oil,0,0.1,0.2,0,0
264,Flaxseed Oil,0,0,0.1,0,0
265,Truffle Oil,0,0,0.7,0,0.2
266,Sesame Seeds,0,0.1,0.3,0,0.1
267,Poppy Seeds,0,0.1,0.1,0,0
268,Chia Seeds,0,0.1,0.1,0,0
269,Flax Seeds,0,0.1,0.1,0,0
270,Pumpkin Seeds,0,0.2,0.3,0,0.2
271,Sunflower Seeds,0,0.2,0.2,0,0.2
272,Hemp Seeds,0,0.1,0.3,0,0
273,Walnuts,0,0.2,0.3,0,0.1
274,Pecans,0,0.3,0.2,0,0
275,Hazelnuts,0,0.3,0.2,0,0
276,Macadamia Nuts,0,0.3,0.2,0,0.1
277,Brazil Nuts,0,0.2,0.2,0,0
278,Pine Nuts,0,0.2,0.3,0,0.1
279,Pistachios,0,0.3,0.3,0,0.2
280,Chestnuts,0,0.5,0.2,0,0
281,Peanut Butter,0,0.2,0.3,0,0.3
282,Almond Butter,0,0.2,0.2,0,0.2
283,Sunflower Seed Butter,0,0.2,0.2,0,0.2
284,White Rice,0,0.1,0.1,0,0
285,Brown Rice,0,0.1,0.2,0,0
286,Jasmine Rice,0,0.2,0.1,0,0
287,Basmati Rice,0,0.1,0.1,0,0
288,Wild Rice,0,0.1,0.3,0,0
289,Arborio Rice,0,0.2,0.1,0,0
290,Sushi Rice,0,0.2,0.1,0,0
291,Black Rice,0,0.1,0.3,0,0
292,Red Rice,0,0.1,0.2,0,0
293,Couscous,0,0.1,0.1,0,0
294,Bulgur,0,0.1,0.2,0,0
295,Farro,0,0.1,0.3,0,0
296,Barley,0,0.1,0.2,0,0
297,Rye,0,0.1,0.2,0,0.1
298,Wheat Berries,0,0.1,0.2,0,0
299,Millet,0,0.1,0.2,0,0
300,Amaranth,0,0.1,0.2,0,0
301,Buckwheat,0,0.2,0.2,0,0
302,Teff,0,0.1,0.2,0,0
303,Sorghum,0,0.2,0.2,0,0
304,Polenta,0,0.2,0.2,0,0
305,Cornmeal,0,0.3,0.1,0,0
306,All-Purpose Flour,0,0.1,0.1,0,0
307,Whole Wheat Flour,0,0.1,0.2,0,0
308,Bread Flour,0,0.1,0.1,0,0
309,Cake Flour,0,0.1,0,0,0
310,Almond Flour,0,0.2,0.2,0,0.1
311,Coconut Flour,0,0.3,0.1,0,0
312,Rice Flour,0,0.1,0.1,0,0
313,Chickpea Flour,0,0.1,0.4,0,0
314,Cornstarch,0,0,0,0,0
315,Tapioca Flour,0,0.1,0,0,0
316,Baking Powder,0,0,0,0,0.3
317,Baking Soda,0,0,0,0,0.5
318,Yeast,0,0,0.4,0,0
319,Sourdough Starter,0,0.1,0.3,0.6,0.2
320,White Bread,0,0.2,0.1,0,0.3
321,Whole Wheat Bread,0,0.2,0.2,0,0.3
322,Rye Bread,0,0.2,0.2,0,0.4
323,Sourdough Bread,0,0.2,0.3,0.4,0.3
324,Bagel,0,0.2,0.1,0,0.4
325,Pita Bread,0,0.2,0.1,0,0.2
326,Naan,0,0.2,0.1,0,0.3
327,Tortilla,0,0.2,0.1,0,0.3
328,Croissant,0,0.3,0.2,0,0.3
329,Baguette,0,0.2,0.2,0,0.4
330,Ciabatta,0,0.2,0.2,0,0.3
331,Focaccia,0,0.2,0.2,0,0.4
332,Spaghetti,0,0.1,0.1,0,0
333,Penne,0,0.1,0.1,0,0
334,Fettuccine,0,0.1,0.1,0,0
335,Linguine,0,0.1,0.1,0,0
336,Rigatoni,0,0.1,0.1,0,0
337,Lasagna Noodles,0,0.1,0.1,0,0
338,Macaroni,0,0.1,0.1,0,0
339,Orzo,0,0.1,0.1,0,0
340,Ramen Noodles,0,0.1,0.2,0,0.3
341,Udon Noodles,0,0.1,0.2,0,0.2
342,Soba Noodles,0,0.1,0.3,0,0.2
343,Rice Noodles,0,0.1,0.1,0,0
344,Glass Noodles,0,0.1,0.1,0,0
345,Egg Noodles,0,0.1,0.2,0,0.1
346,Gnocchi,0,0.2,0.1,0,0.2
347,Ravioli,0,0.2,0.4,0,0.3
348,Tortellini,0,0.2,0.4,0,0.3
349,Dried Shiitake,0,0,0.9,0,0.1
350,Porcini,0,0.1,0.9,0,0.1
351,Chanterelle,0,0.1,0.7,0,0.1
352,Morel,0,0.1,0.8,0,0.1
353,Oyster Mushroom,0,0.1,0.7,0,0.1
354,Portobello,0,0.1,0.8,0,0.1
355,Cremini,0,0.1,0.7,0,0.1
356,Enoki,0,0.1,0.5,0,0
357,Truffle,0,0,0.95,0,0.2
358,Kombu,0,0,0.9,0,0.7
359,Nori,0,0.1,0.8,0,0.8
360,Wakame,0,0.1,0.8,0,0.7
361,Dulse,0,0,0.7,0,0.8
362,Kelp,0,0,0.85,0,0.8
363,Spirulina,0,0,0.6,0,0.4
364,Chlorella,0,0,0.5,0,0.3
365,Hoisin Sauce,0.1,0.7,0.7,0.1,0.6
366,Oyster Sauce,0,0.3,0.9,0.1,0.7
367,Teriyaki Sauce,0,0.6,0.6,0.1,0.7
368,Ponzu Sauce,0,0.2,0.5,0.7,0.6
369,Tamari,0,0.1,0.9,0.1,0.9
370,Liquid Aminos,0,0.1,0.8,0,0.8
371,Coconut Aminos,0,0.4,0.6,0,0.6
372,BBQ Sauce,0.2,0.7,0.4,0.3,0.5
373,Steak Sauce,0.1,0.4,0.6,0.4,0.6
374,Tartar Sauce,0,0.2,0.1,0.3,0.3
375,Cocktail Sauce,0.1,0.3,0.3,0.4,0.4
376,Ranch Dressing,0,0.2,0.2,0.3,0.4
377,Blue Cheese Dressing,0,0.2,0.6,0.3,0.6
378,Caesar Dressing,0,0.1,0.6,0.2,0.6
379,Italian Dressing,0,0.2,0.1,0.5,0.4
380,Thousand Island,0,0.4,0.2,0.3,0.4
381,Honey Mustard,0.2,0.6,0.1,0.3,0.3
382,Dijon Mustard,0.5,0.1,0.1,0.6,0.4
383,Yellow Mustard,0.3,0.2,0.1,0.5,0.4
384,Whole Grain Mustard,0.4,0.1,0.2,0.5,0.4
385,Relish,0,0.4,0.1,0.6,0.4
386,Chutney,0.2,0.7,0.2,0.4,0.2
387,Salsa,0.4,0.2,0.3,0.5,0.4
388,Guacamole,0.1,0,0.3,0.2,0.3
389,Hummus,0.1,0.1,0.4,0.2,0.4
390,Tzatziki,0,0.1,0.2,0.4,0.4
391,Aioli,0.1,0,0.2,0.1,0.3
392,Pico de Gallo,0.3,0.1,0.2,0.4,0.3
393,Chimichurri,0.2,0,0.1,0.5,0.3
394,Harissa,0.9,0.1,0.2,0.3,0.5
395,Gochujang,0.7,0.3,0.6,0.1,0.5
396,Sambal Oelek,0.85,0.1,0.2,0.2,0.4
397,Thai Chili Sauce,0.8,0.5,0.2,0.3,0.4
398,XO Sauce,0.3,0.2,0.9,0.1,0.7
399,Chili Oil,0.8,0,0.1,0,0.2
400,Agave Nectar,0,0.9,0,0,0
401,Molasses,0,0.8,0.2,0.1,0.1
402,Brown Sugar,0,0.95,0,0,0
403,Powdered Sugar,0,1,0,0,0
404,Corn Syrup,0,0.95,0,0,0
405,Stevia,0,0.9,0,0,0
406,Monk Fruit,0,0.85,0,0,0
407,Erythritol,0,0.7,0,0,0
408,Xylitol,0,0.75,0,0,0
409,Parsley,0,0,0.1,0.1,0
410,Dill,0,0,0.1,0.1,0
411,Tarragon,0,0.1,0.1,0.1,0
412,Bay Leaf,0,0,0.2,0,0
413,Sage,0,0,0.2,0,0
414,Marjoram,0,0.1,0.1,0,0
415,Chervil,0,0,0.1,0,0
416,Lemongrass,0,0.1,0,0.3,0
417,Curry Leaf,0.2,0,0.3,0,0
418,Kaffir Lime Leaf,0,0.1,0,0.4,0
419,Lavender,0,0.2,0,0,0
420,Chamomile,0,0.3,0,0,0
421,Hibiscus,0,0.2,0,0.6,0
422,Turmeric,0.2,0,0.2,0,0
423,Cardamom,0.3,0.4,0,0,0
424,Cloves,0.5,0.3,0.1,0,0
425,Star Anise,0.2,0.4,0.1,0,0
426,Allspice,0.3,0.3,0.1,0,0
427,Juniper Berries,0.1,0.1,0.1,0.1,0
428,Fenugreek,0.3,0.2,0.3,0,0
429,Mustard Seeds,0.5,0,0.1,0.2,0
430,Celery Seeds,0.1,0,0.2,0,0.3
431,Caraway Seeds,0.2,0.1,0.1,0,0
432,Anise Seeds,0.1,0.5,0,0,0
433,Fennel Seeds,0.1,0.4,0.1,0,0
434,Nigella Seeds,0.2,0,0.1,0,0.1
435,Saffron,0,0.1,0.2,0,0
436,Sumac,0,0.1,0,0.8,0.2
437,Za'atar,0.1,0,0.1,0.3,0.3
438,Garam Masala,0.6,0.2,0.2,0,0.1
439,Curry Powder,0.5,0.1,0.3,0,0.2
440,Chinese Five Spice,0.4,0.3,0.2,0,0.1
441,Ras el Hanout,0.4,0.3,0.2,0,0.1
442,Berbere,0.8,0.1,0.2,0.1,0.2
443,Herbes de Provence,0,0.1,0.1,0,0
444,Italian Seasoning,0,0,0.2,0,0
445,Old Bay Seasoning,0.2,0,0.2,0,0.8
446,Cajun Seasoning,0.7,0,0.2,0,0.7
447,Taco Seasoning,0.5,0,0.2,0,0.5
448,Everything Bagel Seasoning,0.1,0,0.2,0,0.8
449,Furikake,0,0.2,0.7,0,0.7
450,Shichimi Togarashi,0.7,0.1,0.4,0,0.4
451,MSG,0,0,0.95,0,0.3
452,Nutritional Yeast,0,0.1,0.7,0,0.2
453,Gelatin,0,0,0.3,0,0
454,Agar Agar,0,0,0.1,0,0.1
455,Pectin,0,0,0,0,0
456,Xanthan Gum,0,0,0,0,0
457,Cornichons,0,0.1,0.1,0.8,0.7
458,Pickled Onions,0,0.2,0.2,0.7,0.5
459,Pickled Jalapeños,0.7,0.1,0,0.8,0.6
460,Pickled Ginger,0.3,0.1,0.1,0.7,0.3
461,Sun-Dried Tomatoes,0,0.5,0.8,0.2,0.4
462,Roasted Red Peppers,0,0.4,0.3,0.1,0.1
463,Marinated Artichokes,0,0.2,0.4,0.3,0.5
464,Espresso,0,0.1,0.4,0.4,0
465,Black Tea,0,0.1,0.2,0.2,0
466,Green Tea,0,0.1,0.3,0.2,0
467,Matcha,0,0.2,0.5,0.1,0
468,Chai,0.3,0.4,0.1,0,0
469,Earl Grey,0,0.2,0.1,0.1,0
470,Oolong Tea,0,0.2,0.3,0.1,0
471,White Tea,0,0.2,0.2,0,0
472,Rooibos,0,0.3,0.1,0,0
473,Cocoa Powder,0.1,0.3,0.2,0.2,0
474,Dark Chocolate,0.2,0.5,0.2,0.2,0
475,Milk Chocolate,0,0.7,0.1,0,0.1
476,White Chocolate,0,0.8,0,0,0.1
477,Caramel,0,0.9,0.1,0,0.2
478,Butterscotch,0,0.9,0.1,0,0.2
479,Marshmallow,0,0.9,0,0,0
480,Meringue,0,0.8,0,0,0
481,Condensed Milk,0,0.9,0.2,0,0.2
482,Evaporated Milk,0,0.3,0.2,0,0.1
483,Coconut Milk,0,0.4,0.1,0,0.1
484,Coconut Cream,0,0.5,0.1,0,0.1
485,Almond Milk,0,0.3,0.1,0,0.1
486,Oat Milk,0,0.4,0.1,0,0.1
487,Soy Milk,0,0.2,0.3,0,0.1
488,Rice Milk,0,0.5,0,0,0
489,Cashew Milk,0,0.4,0.1,0,0.1
490,Hemp Milk,0,0.2,0.2,0,0.1
491,Habanero,0.95,0.1,0,0,0
492,Serrano Pepper,0.85,0,0,0,0
493,Thai Chili,0.9,0.1,0,0,0
494,Poblano Pepper,0.3,0.2,0.1,0,0
495,Anaheim Pepper,0.2,0.2,0.1,0,0
496,Chipotle Pepper,0.7,0.2,0.1,0.1,0.1
497,Ghost Pepper,1,0,0,0,0
498,Carolina Reaper,1,0,0,0,0
499,Scotch Bonnet,0.95,0.1,0,0,0
500,Banana Pepper,0.1,0.3,0,0.1,0
501,Pepperoncini,0.3,0,0,0.4,0.3
502,Cherry Pepper,0.2,0.2,0,0.1,0
503,Pimento,0,0.3,0.1,0,0
504,Red Pepper Flakes,0.8,0,0,0,0.1
505,White Pepper,0.6,0,0,0,0
506,Pink Peppercorns,0.2,0.2,0,0,0
507,Green Peppercorns,0.5,0,0.1,0.1,0.2
508,Szechuan Pepper,0.6,0,0.1,0,0
509,Long Pepper,0.7,0.1,0,0,0
510,Aleppo Pepper,0.5,0.1,0,0,0.2
511,Espelette Pepper,0.4,0.2,0,0,0
512,Guajillo Chili,0.4,0.3,0.2,0,0
513,Ancho Chili,0.3,0.4,0.2,0,0
514,Pasilla Chili,0.4,0.2,0.2,0,0
515,New Mexico Chili,0.3,0.3,0.2,0,0
516,Kashmiri Chili,0.4,0.1,0,0,0
517,Bird's Eye Chili,0.9,0,0,0,0
518,Calabrian Chili,0.6,0,0,0,0.1
519,Shishito Pepper,0.1,0.2,0,0,0
520,Padrón Pepper,0.2,0.1,0,0,0
521,Red Wine Vinegar,0,0.1,0,0.8,0
522,White Wine Vinegar,0,0.1,0,0.8,0
523,Apple Cider Vinegar,0,0.3,0,0.8,0
524,Sherry Vinegar,0,0.2,0.1,0.8,0
525,Champagne Vinegar,0,0.1,0,0.7,0
526,Malt Vinegar,0,0.2,0.1,0.8,0.1
527,Distilled White Vinegar,0,0,0,0.95,0
528,Coconut Vinegar,0,0.2,0,0.7,0
529,Ume Plum Vinegar,0,0.1,0.2,0.9,0.4
530,Black Vinegar,0,0.4,0.3,0.6,0.2
531,Red Wine,0,0.2,0.1,0.5,0
532,White Wine,0,0.3,0,0.4,0
533,Sake,0,0.3,0.2,0.1,0
534,Mirin,0,0.7,0.2,0,0.1
535,Cooking Sherry,0,0.3,0.2,0.2,0.3
536,Vermouth,0,0.2,0.1,0.3,0.2
537,Port,0,0.8,0.1,0.2,0
538,Marsala,0,0.7,0.2,0.2,0.1
539,Beer,0,0.2,0.2,0.1,0
540,Stout,0,0.3,0.3,0.2,0
541,Ale,0,0.2,0.2,0.1,0
542,Lager,0,0.1,0.1,0.1,0
543,Red Meat Stock,0,0.1,0.9,0,0.5
544,Chicken Stock,0,0.1,0.8,0,0.5
545,Vegetable Stock,0,0.1,0.6,0,0.5
546,Fish Stock,0,0.1,0.8,0.1,0.5
547,Dashi,0,0.1,0.9,0,0.4
548,Beef Broth,0,0.1,0.8,0,0.5
